Id,ActivityDate,TotalSteps,LogTotalSteps,DayName,Day,NoExercise
1503960366,2016-03-25,11004,9.306104993960561,Friday,4,0
1503960366,2016-03-26,17609,9.776222201490253,Saturday,5,0
1503960366,2016-03-27,12736,9.45226642258976,Sunday,6,0
1503960366,2016-03-28,13231,9.490393417263473,Monday,0,0
1503960366,2016-03-29,12041,9.396155818024393,Tuesday,1,0
1503960366,2016-03-30,10970,9.30301070681749,Wednesday,2,0
1503960366,2016-03-31,12256,9.413852481341165,Thursday,3,0
1503960366,2016-04-01,12262,9.414341877762027,Friday,4,0
1503960366,2016-04-02,11248,9.328034514792826,Saturday,5,0
1503960366,2016-04-03,10016,9.212038928611765,Sunday,6,0
1503960366,2016-04-04,14557,9.585895949678203,Monday,0,0
1503960366,2016-04-05,14844,9.60541838719786,Tuesday,1,0
1503960366,2016-04-06,11974,9.390576422279116,Wednesday,2,0
1503960366,2016-04-07,10198,9.230044955250518,Thursday,3,0
1503960366,2016-04-08,12521,9.435242376305256,Friday,4,0
1503960366,2016-04-09,12432,9.428109506952937,Saturday,5,0
1503960366,2016-04-10,10057,9.21612361673191,Sunday,6,0
1503960366,2016-04-11,10990,9.3048320350689,Monday,0,0
1503960366,2016-04-12,224,5.41610040220442,Tuesday,1,1
1624580081,2016-03-25,1810,7.501634457883413,Friday,4,1
1624580081,2016-03-26,815,6.704414354964107,Saturday,5,1
1624580081,2016-03-27,1985,7.593877844605118,Sunday,6,1
1624580081,2016-03-28,1905,7.552762084214147,Monday,0,1
1624580081,2016-03-29,1552,7.347943823148687,Tuesday,1,1
1624580081,2016-03-30,1675,7.424165281042028,Wednesday,2,1
1624580081,2016-03-31,4506,8.413387022690648,Thursday,3,1
1624580081,2016-04-01,9218,9.129021850798594,Friday,4,0
1624580081,2016-04-02,1556,7.350516171833998,Saturday,5,1
1624580081,2016-04-03,2910,7.976251943745623,Sunday,6,1
1624580081,2016-04-04,18464,9.823632327286663,Monday,0,0
1624580081,2016-04-05,1335,7.197435354096591,Tuesday,1,1
1624580081,2016-04-06,1004,6.912742820493176,Wednesday,2,1
1624580081,2016-04-07,1111,7.013915474810528,Thursday,3,1
1624580081,2016-04-08,6344,8.755422380148488,Friday,4,0
1624580081,2016-04-09,3572,8.181160858023409,Saturday,5,1
1624580081,2016-04-10,3910,8.271548374755515,Sunday,6,1
